Bellamy, Lou - Game Statistics
Date	Opponent	PTS	MIN	FGM-FGA	3PM-3PA	FTM-FTA	REB	AST	BLK	STL	TO	PF
11/08/25	CWRU	3	4	1-1	1-1	0-0	0	0	0	0	0	0
12/12/25	Fredonia	10	18	3-5	2-4	2-2	2	0	0	1	1	0
01/03/26	Bethany (WV)	4	5	1-3	1-3	1-1	1	0	0	1	3	1
01/06/26	Nazareth	6	13	2-3	2-3	0-0	2	1	0	0	0	0
01/09/26	Utica	0	3	0-0	0-0	0-0	1	0	0	0	1	1
01/10/26	SUNY Poly	0	7	0-2	0-1	0-0	0	0	0	0	0	1
01/13/26	St. John Fisher	0	2	0-1	0-1	0-0	0	1	0	0	0	0
01/16/26	Russell Sage	10	12	2-4	1-3	5-7	1	0	0	0	1	1
01/17/26	Hartwick	3	9	1-5	1-3	0-0	0	0	0	0	1	1
01/24/26	Geneseo	6	8	2-3	2-3	0-0	0	1	0	0	0	1
01/27/26	Alfred	0	6	0-2	0-2	0-0	1	0	0	0	0	0
01/30/26	Keuka	15	19	5-9	4-8	1-1	1	0	0	1	1	2
01/31/26	Elmira	5	23	2-7	1-5	0-0	5	0	0	2	0	1
02/06/26	SUNY Poly	0	7	0-0	0-0	0-0	0	1	0	0	0	0

-----
Griffin, Evan - Game Statistics
Date	Opponent	PTS	MIN	FGM-FGA	3PM-3PA	FTM-FTA	REB	AST	BLK	STL	TO	PF
11/07/25	Pitt.-Bradford	1	3	0-0	0-0	1-2	0	0	0	0	1	2
11/08/25	CWRU	6	6	1-4	1-1	3-3	1	0	0	0	0	0
11/13/25	Alfred St.	0	11	0-0	0-0	0-0	1	1	0	0	0	3
11/19/25	Hilbert	3	16	1-3	1-3	0-0	1	0	0	0	1	0
11/22/25	Buffalo State	0	2	0-0	0-0	0-0	1	0	0	0	0	0
11/25/25	SUNY Morrisville	2	5	1-1	0-0	0-0	3	0	0	0	0	0
12/09/25	Grove City	5	6	2-2	1-1	0-0	0	0	0	0	0	0
12/12/25	Fredonia	5	9	2-4	1-1	0-0	1	0	0	3	0	1
01/03/26	Bethany (WV)	3	15	1-6	1-4	0-0	3	1	0	1	0	1
01/06/26	Nazareth	6	15	2-5	0-3	2-6	4	2	0	1	0	1
01/09/26	Utica	3	8	1-2	1-2	0-2	1	0	0	0	1	0
01/10/26	SUNY Poly	6	16	1-6	0-2	4-6	3	2	0	2	0	0
01/13/26	St. John Fisher	18	28	7-12	3-7	1-2	5	1	0	1	2	0
01/16/26	Russell Sage	0	16	0-4	0-4	0-0	3	0	0	0	0	2
01/17/26	Hartwick	11	26	5-10	1-4	0-0	5	1	0	1	0	1
01/23/26	Brockport	7	15	2-3	1-1	2-2	2	0	0	0	3	3
01/24/26	Geneseo	3	11	1-3	1-2	0-0	1	1	0	0	1	0
01/27/26	Alfred	0	1	0-0	0-0	0-0	0	0	0	0	0	1
01/30/26	Keuka	3	4	1-2	1-2	0-0	1	0	0	0	1	0
01/31/26	Elmira	4	8	0-3	0-1	4-5	1	1	0	0	2	2
